OKTMO;Title;RegionID
08644000000;Солнечный муниципальный район;82
08646000000;Тугуро-Чумиканский муниципальный район;82
08650000000;Ульчский муниципальный район;82
08655000000;Хабаровский муниципальный район;82
08701000000;город Хабаровск;82
08709000000;город Комсомольск-на-Амуре;82
10505000000;Архаринский муниципальный округ;2
10508000000;Белогорский муниципальный округ;2
10511000000;Благовещенский муниципальный округ;2
10515000000;Бурейский муниципальный округ;2
10521000000;Завитинский муниципальный округ;2
10525000000;Зейский муниципальный округ;2
10528000000;Ивановский муниципальный округ;2
10540000000;Ромненский муниципальный округ;2
10547000000;Серышевский муниципальный округ;2
10549000000;Сковородинский муниципальный округ;2
10551000000;Тамбовский муниципальный округ;2
10554000000;Тындинский муниципальный округ;2
10555000000;Шимановский муниципальный округ;2
10630000000;Константиновский муниципальный район;2
10631000000;Магдагачинский муниципальный район;2
10632000000;Мазановский муниципальный район;2
10635000000;Михайловский муниципальный район;2
10638000000;Октябрьский муниципальный район;2
10642000000;Свободненский муниципальный район;2
10645000000;Селемджинский муниципальный район;2
10701000000;город Благовещенск;2
10710000000;город Белогорск;2
10712000000;город Зея;2
10720000000;город Райчихинск;2
10730000000;город Свободный;2
10732000000;город Тында;2
10740000000;город Шимановск;2
10770000000;ЗАТО Циолковский;2
10775000000;рабочий поселок (поселок городского типа) Прогресс;2
11508000000;Верхнетоемский муниципальный округ;3
11511000000;Вилегодский муниципальный округ;3
11514000000;Виноградовский муниципальный округ;3
11518000000;Каргопольский муниципальный округ;3
11527000000;Котласский муниципальный округ;3
11530000000;Красноборский муниципальный округ;3
11538000000;Лешуконский муниципальный округ;3
11542000000;Мезенский муниципальный округ;3
11544000000;Няндомский муниципальный округ;3
11548000000;Пинежский муниципальный округ;3
11550000000;Плесецкий муниципальный округ;3
11552000000;Приморский муниципальный округ;3
11554000000;Устьянский муниципальный округ;3
11556000000;Холмогорский муниципальный округ;3
11558000000;Шенкурский муниципальный округ;3
11605000000;Вельский муниципальный район;3
11622000000;Коношский муниципальный район;3
11635000000;Ленский муниципальный район;3
11646000000;Онежский муниципальный район;3
11701000000;город Архангельск;3
11708000000;город Коряжма;3
11710000000;Котлас;3
11712000000;Новая Земля;3
11715000000;город Новодвинск;3
11725000000;ЗАТО Мирный;3
11730000000;Северодвинск;3
11810000000;Муниципальные районы Ненецкого автономного округа;3
11811000000;Муниципальный район Заполярный район;3
11850000000;Городские округа Ненецкого автономного округа/;3
11851000000;город Нарьян-Мар;3
12605000000;Ахтубинский муниципальный район;4
12610000000;Володарский муниципальный район;4
12615000000;Енотаевский муниципальный район;4
12620000000;Икрянинский муниципальный район;4
12625000000;Камызякский муниципальный район;4
12630000000;Красноярский муниципальный район;4
12635000000;Лиманский муниципальный район;4
12640000000;Наримановский муниципальный район;4
12642000000;Приволжский муниципальный район;4
12645000000;Харабалинский муниципальный район;4
12650000000;Черноярский муниципальный район;4
12701000000;город Астрахань;4
12719000000;ЗАТО Знаменск;4
14610000000;Белгородский муниципальный район;6
14615000000;Борисовский муниципальный район;6
14625000000;Вейделевский муниципальный район;6
14630000000;Волоконовский муниципальный район;6
14638000000;Ивнянский муниципальный район;6
14640000000;Корочанский муниципальный район;6
14641000000;Красненский муниципальный район;6
14642000000;Красногвардейский муниципальный район;6
14643000000;Краснояружский муниципальный район;6
14646000000;Прохоровский муниципальный район;6
14648000000;Ракитянский муниципальный район;6
14650000000;Ровеньский муниципальный район;6
14654000000;Чернянский муниципальный район;6
14701000000;город Белгород;6
14710000000;Алексеевский;6
14720000000;Валуйский;6
14725000000;Грайворонский;6
14730000000;Губкинский;6
14735000000;Новооскольский;6
14740000000;Старооскольский;6
14750000000;Шебекинский;6
14755000000;Яковлевский;6
15501000000;Стародубский;7
15502000000;Жуковский;7
15604000000;Брасовский муниципальный район;7
15608000000;Брянский муниципальный район;7
15610000000;Выгоничский муниципальный район;7
15611000000;Гордеевский муниципальный район;7
15612000000;Дубровский муниципальный район;7
15616000000;Дятьковский муниципальный район;7
15620000000;Жирятинский муниципальный район;7
15623000000;Злынковский муниципальный район;7
15624000000;Карачевский муниципальный район;7
15626000000;Клетнянский муниципальный район;7
15628000000;Климовский муниципальный район;7
15630000000;Клинцовский муниципальный район;7
15632000000;Комаричский муниципальный район;7
15634000000;Красногорский муниципальный район;7
15636000000;Мглинский муниципальный район;7
15638000000;Навлинский муниципальный район;7
15642000000;Погарский муниципальный район;7
15644000000;Почепский муниципальный район;7
15646000000;Рогнединский муниципальный район;7
15648000000;Севский муниципальный район;7
15652000000;Суземский муниципальный район;7
15654000000;Суражский муниципальный район;7
15656000000;Трубчевский муниципальный район;7
15658000000;Унечский муниципальный район;7
15720000000;Новозыбковский;7
15701000000;город Брянск;7
15710000000;город Фокино;7
15715000000;город Клинцы;7
15725000000;город Сельцо;7
17605000000;Александровский муниципальный район;9
17610000000;Вязниковский муниципальный район;9
17615000000;Гороховецкий муниципальный район;9
17620000000;Гусь-Хрустальный муниципальный район;9
17625000000;Камешковский муниципальный район;9
17630000000;Киржачский муниципальный район;9
